pedido_id;vendedor;categoria;produto;status_pedido;quantidade;valor_unitario;prazo_entrega_dias
10076;Patrícia Rocha;Brinquedos;Pista de Carrinhos;Cancelado;5;189.0;9
10077;Carlos Souza;Eletrônicos;Notebook;Entregue;3;5199.71;15
10078;Natália Barbosa;Esportes;Bicicleta Ergométrica;Entregue;5;1783.78;7
10079;Marcelo Monteiro;Brinquedos;Massinha de Modelar;Em trânsito;1;22.99;6
10080;Eduardo Freitas;Brinquedos;Massinha de Modelar;Em trânsito;2;38.46;5
10081;Claudia Ramos;Eletrônicos;Tablet;Entregue;2;1083.95;5
10082;Paulo Nascimento;Casa e Decoração;Difusor de Aromas;Entregue;4;146.81;4
10083;Ana Lima;Esportes;Bermuda Esportiva;Em trânsito;1;134.57;9
10084;Bruno Alves;Eletrônicos;Smart TV;Entregue;1;2215.39;9
10085;Larissa Nunes;Eletrônicos;Smartphone;Cancelado;2;2069.32;7
10086;Amanda Silva;Brinquedos;Pista de Carrinhos;Entregue;2;240.22;5
10087;Mariana Correia;Esportes;Bicicleta Ergométrica;Em trânsito;5;1938.25;12
10088;Ana Lima;Eletrônicos;Webcam;Entregue;5;326.77;11
10089;Patrícia Rocha;Casa e Decoração;Fritadeira Air Fryer;Em trânsito;3;307.75;14
10090;Juliana Martins;Esportes;Bermuda Esportiva;Em trânsito;1;166.37;11
10091;Fábio Araújo;Brinquedos;Violão Infantil;Entregue;1;258.05;4
10092;Diego Fernandes;Esportes;Garrafa Térmica;Entregue;3;108.95;4
10093;Aline Ferreira;Esportes;Luva de Boxe;Em trânsito;1;192.26;8
10094;Fernanda Costa;Brinquedos;Telescópio Infantil;Entregue;4;313.05;5
10095;Vinícius Lopes;Eletrônicos;Smartphone;Entregue;4;1973.15;13
10096;Bruno Alves;Eletrônicos;Smart TV;Entregue;5;2878.68;8
10097;Renato Cavalcante;Casa e Decoração;Fritadeira Air Fryer;Em trânsito;2;359.09;15
10098;Lucas Ribeiro;Brinquedos;Pelúcia;Em trânsito;5;53.31;6
10099;Raquel Esteves;Brinquedos;Carrinho de Controle Remoto;Em trânsito;1;167.63;4
10100;Aline Ferreira;Esportes;Kettlebell;Entregue;1;287.31;10
10101;Ana Lima;Esportes;Luva de Boxe;Entregue;4;181.97;2
10102;Juliana Martins;Eletrônicos;Tablet;Entregue;4;1732.71;4
10103;Eduardo Freitas;Eletrônicos;Notebook;Entregue;5;4603.45;3
10104;Diego Fernandes;Eletrônicos;Notebook;Entregue;4;5351.43;12
10105;Tatiane Cunha;Casa e Decoração;Jogo de Panelas;Entregue;3;339.27;5
10106;Ana Lima;Casa e Decoração;Espelho de Parede;Entregue;4;179.96;8
10107;Débora Vieira;Brinquedos;Patins;Em trânsito;5;203.79;8
10108;Vinícius Lopes;Brinquedos;Patins;Entregue;3;128.5;6
10109;Claudia Ramos;Eletrônicos;SSD Externo;Entregue;4;226.23;12
10110;Matheus Borges;Eletrônicos;Caixa de Som Bluetooth;Cancelado;1;216.77;10
10111;Bruno Alves;Eletrônicos;Smart TV;Cancelado;4;2805.84;12
10112;Débora Vieira;Eletrônicos;Smart TV;Em trânsito;5;2119.19;14
10113;Ana Lima;Brinquedos;Quebra-Cabeça 1000 peças;Em trânsito;4;107.9;2
10114;Rafael Oliveira;Eletrônicos;Smart TV;Entregue;5;2516.76;15
10115;Felipe Gomes;Eletrônicos;SSD Externo;Cancelado;5;228.78;7
10116;Rafael Oliveira;Eletrônicos;Notebook;Entregue;2;5418.8;6
10117;Priscila Teixeira;Eletrônicos;Notebook;Entregue;3;5329.55;5
10118;Patrícia Rocha;Eletrônicos;Smartwatch;Entregue;4;605.84;11
10119;Rafael Oliveira;Eletrônicos;Notebook;Em trânsito;2;4052.49;5
10120;Rafael Oliveira;Casa e Decoração;Luminária de Mesa;Entregue;5;97.18;15
10121;Vanessa Sousa;Eletrônicos;Tablet;Entregue;4;1117.87;11
10122;Ana Lima;Casa e Decoração;Cafeteira Elétrica;Entregue;4;260.83;14
10123;Larissa Nunes;Esportes;Halteres;Entregue;2;88.89;12
10124;Thiago Santos;Brinquedos;Pelúcia;Entregue;3;66.61;4
10125;Diego Fernandes;Brinquedos;Telescópio Infantil;Em trânsito;2;296.52;6
10126;Diego Fernandes;Brinquedos;Carrinho de Controle Remoto;Entregue;1;110.61;6
10127;Fernanda Costa;Eletrônicos;Notebook;Cancelado;2;3437.57;4
10128;Rafael Oliveira;Esportes;Corda de Pular;Em trânsito;1;38.72;9
10129;Patrícia Rocha;Casa e Decoração;Espelho de Parede;Entregue;5;296.92;8
10130;Priscila Teixeira;Eletrônicos;Notebook;Entregue;2;2836.84;10
10131;Ana Lima;Brinquedos;Kit de Ciências;Entregue;2;175.7;5
10132;Carlos Souza;Eletrônicos;SSD Externo;Entregue;4;442.35;11
10133;Anderson Cruz;Esportes;Bicicleta Ergométrica;Em trânsito;4;2047.73;12
10134;Claudia Ramos;Brinquedos;Violão Infantil;Em trânsito;4;258.99;5
10135;Diego Fernandes;Brinquedos;Pelúcia;Em trânsito;1;61.77;4
10136;Camila Pereira;Brinquedos;Pelúcia;Entregue;3;101.24;7
10137;Fernanda Costa;Eletrônicos;Teclado Mecânico;Em trânsito;4;349.73;3
10138;Vanessa Sousa;Brinquedos;Boneca Articulada;Entregue;5;174.17;8
10139;Vanessa Sousa;Esportes;Garrafa Térmica;Entregue;1;117.97;2
10140;Juliana Martins;Esportes;Garrafa Térmica;Entregue;4;135.99;8
10141;Fernanda Costa;Brinquedos;LEGO Clássico;Em trânsito;2;422.16;2
10142;Mariana Correia;Esportes;Bicicleta Ergométrica;Entregue;4;2098.71;3
10143;Tatiane Cunha;Casa e Decoração;Cafeteira Elétrica;Entregue;2;443.38;14
10144;Simone Castro;Esportes;Bicicleta Ergométrica;Em trânsito;1;1944.6;12
10145;Eduardo Freitas;Casa e Decoração;Cafeteira Elétrica;Entregue;3;277.68;17
10146;Henrique Dias;Eletrônicos;Tablet;Entregue;4;1585.75;14
10147;Letícia Moreira;Eletrônicos;Notebook;Entregue;2;4210.66;12
10148;Juliana Martins;Eletrônicos;Smart TV;Em trânsito;4;2088.31;15
10149;Flávia Azevedo;Brinquedos;Kit de Ciências;Entregue;5;242.68;6
10150;Rafael Oliveira;Eletrônicos;Teclado Mecânico;Entregue;5;300.0;15
10151;Marcelo Monteiro;Brinquedos;Pelúcia;Entregue;2;118.03;2
10152;Fernanda Costa;Esportes;Bicicleta Ergométrica;Cancelado;5;2156.25;5
10153;Patrícia Rocha;Casa e Decoração;Cafeteira Elétrica;Em trânsito;4;443.76;11
10154;Fernanda Costa;Brinquedos;Carrinho de Controle Remoto;Entregue;2;341.29;7
10155;Rafael Oliveira;Casa e Decoração;Espelho de Parede;Entregue;5;251.78;5
10156;Tatiane Cunha;Eletrônicos;Caixa de Som Bluetooth;Entregue;5;203.62;15
10157;Rafael Oliveira;Casa e Decoração;Fritadeira Air Fryer;Entregue;4;755.46;8
10158;Henrique Dias;Eletrônicos;Teclado Mecânico;Entregue;4;462.41;10
10159;Leandro Reis;Eletrônicos;Smartwatch;Entregue;2;722.56;12
10160;Aline Ferreira;Esportes;Bola de Futebol;Em trânsito;1;91.14;3
10161;Bruno Alves;Casa e Decoração;Organizador de Gavetas;Entregue;4;77.57;18
10162;Alexandre Lacerda;Esportes;Tapete de Yoga;Entregue;5;88.68;8
10163;Paulo Nascimento;Brinquedos;Carrinho de Controle Remoto;Em trânsito;2;223.76;4
10164;Tatiane Cunha;Esportes;Tênis de Corrida;Entregue;2;405.88;2
10165;Patrícia Rocha;Casa e Decoração;Jogo de Cama;Cancelado;3;224.42;3
10166;Mariana Correia;Esportes;Garrafa Térmica;Entregue;2;114.25;6
10167;Carlos Souza;Eletrônicos;Smartphone;Em trânsito;3;2095.28;9
10168;Fernanda Costa;Esportes;Halteres;Cancelado;3;233.89;11
10169;Juliana Martins;Eletrônicos;Smartphone;Entregue;1;1335.76;11
10170;Rodrigo Batista;Eletrônicos;Fone Bluetooth;Em trânsito;3;291.58;7
10171;Carlos Souza;Eletrônicos;Webcam;Entregue;5;169.9;12
10172;Fernanda Costa;Esportes;Corda de Pular;Em trânsito;3;27.74;11
10173;Flávia Azevedo;Eletrônicos;Caixa de Som Bluetooth;Entregue;2;155.44;5
10174;Patrícia Rocha;Casa e Decoração;Luminária de Mesa;Em trânsito;5;170.46;15
10175;Juliana Martins;Eletrônicos;Mouse Sem Fio;Entregue;2;172.52;12
10176;Aline Ferreira;Eletrônicos;Tablet;Entregue;2;1239.19;13
10177;Ana Lima;Casa e Decoração;Luminária de Mesa;Entregue;2;235.62;13
10178;Raquel Esteves;Casa e Decoração;Organizador de Gavetas;Entregue;4;99.26;13
10179;Paulo Nascimento;Esportes;Tapete de Yoga;Entregue;5;54.99;11
10180;Patrícia Rocha;Eletrônicos;Mouse Sem Fio;Entregue;2;172.78;12
10181;Thiago Santos;Casa e Decoração;Jogo de Cama;Entregue;1;233.43;6
10182;Fernanda Costa;Brinquedos;Pista de Carrinhos;Entregue;3;200.7;9
10183;Tatiane Cunha;Brinquedos;LEGO Clássico;Em trânsito;4;241.66;10
10184;Tiago Moura;Esportes;Bicicleta Ergométrica;Em trânsito;3;825.58;12
10185;Claudia Ramos;Eletrônicos;Caixa de Som Bluetooth;Entregue;2;346.62;7
10186;Renato Cavalcante;Brinquedos;Patins;Em trânsito;5;223.98;3
10187;Débora Vieira;Eletrônicos;Tablet;Entregue;5;1812.88;3
10188;Camila Pereira;Eletrônicos;Smartwatch;Entregue;3;711.93;7
10189;Fábio Araújo;Casa e Decoração;Jogo de Cama;Entregue;3;97.78;12
10190;Simone Castro;Eletrônicos;Notebook;Entregue;4;3677.16;8
10191;Rafael Oliveira;Eletrônicos;Smartwatch;Entregue;2;463.33;6
10192;Sabrina Melo;Esportes;Mochila de Hidratação;Entregue;5;166.04;8
10193;Leandro Reis;Esportes;Bola de Futebol;Entregue;1;177.63;11
10194;Juliana Martins;Eletrônicos;SSD Externo;Cancelado;2;628.67;13
10195;Henrique Dias;Eletrônicos;Tablet;Entregue;1;1182.48;8
10196;Bianca Carvalho;Eletrônicos;Fone Bluetooth;Entregue;5;208.21;4
10197;Camila Pereira;Casa e Decoração;Tapete Sala;Entregue;4;276.89;7
10198;Bianca Carvalho;Casa e Decoração;Fritadeira Air Fryer;Entregue;3;538.01;10
10199;Marcelo Monteiro;Brinquedos;Carrinho de Controle Remoto;Entregue;3;231.12;4
10200;Larissa Nunes;Esportes;Bicicleta Ergométrica;Entregue;4;1746.59;7
10201;Ana Lima;Casa e Decoração;Porta-Retratos;Em trânsito;4;43.24;17
10202;Carlos Souza;Brinquedos;Jogo de Tabuleiro;Em trânsito;3;121.81;4
10203;Lucas Ribeiro;Brinquedos;Boneca Articulada;Entregue;5;164.63;6
10204;Sabrina Melo;Brinquedos;Pelúcia;Entregue;5;96.8;7
10205;Ana Lima;Casa e Decoração;Jogo de Cama;Entregue;5;271.15;7
10206;Patrícia Rocha;Esportes;Tênis de Corrida;Em trânsito;1;582.24;8
10207;Patrícia Rocha;Esportes;Bicicleta Ergométrica;Em trânsito;1;842.17;2
10208;Felipe Gomes;Eletrônicos;Smart TV;Entregue;3;2941.92;12
10209;Tatiane Cunha;Casa e Decoração;Jogo de Panelas;Em trânsito;1;638.31;7
10210;Fernanda Costa;Casa e Decoração;Jogo de Panelas;Em trânsito;1;637.8;13
10211;Ana Lima;Eletrônicos;Notebook;Entregue;3;3361.53;3
10212;Diego Fernandes;Brinquedos;LEGO Clássico;Entregue;4;221.15;4
10213;Willian Duarte;Casa e Decoração;Luminária de Mesa;Entregue;3;96.96;15
10214;Rafael Oliveira;Esportes;Tapete de Yoga;Entregue;4;92.68;5
10215;Rodrigo Batista;Esportes;Mochila de Hidratação;Cancelado;4;161.74;6
10216;Aline Ferreira;Casa e Decoração;Jogo de Panelas;Entregue;1;406.17;8
10217;Claudia Ramos;Esportes;Halteres;Entregue;1;128.74;4
10218;Tatiane Cunha;Casa e Decoração;Tapete Sala;Cancelado;1;262.42;9
10219;Diego Fernandes;Eletrônicos;Notebook;Entregue;5;3140.0;13
10220;Juliana Martins;Eletrônicos;Smartphone;Entregue;5;2051.29;9
10221;Diego Fernandes;Casa e Decoração;Espelho de Parede;Entregue;1;101.92;16
10222;Roberto Cardoso;Eletrônicos;SSD Externo;Cancelado;2;429.5;10
10223;Anderson Cruz;Esportes;Bicicleta Ergométrica;Em trânsito;2;840.18;8
10224;Rafael Oliveira;Brinquedos;LEGO Clássico;Entregue;4;396.42;4
10225;Willian Duarte;Esportes;Bicicleta Ergométrica;Entregue;3;1615.14;7
10226;Henrique Dias;Brinquedos;Pista de Carrinhos;Entregue;4;186.61;4
10227;Carlos Souza;Brinquedos;Telescópio Infantil;Entregue;3;481.69;3
10228;Gustavo Pinto;Brinquedos;Carrinho de Controle Remoto;Entregue;4;303.33;10
10229;Sérgio Machado;Eletrônicos;Teclado Mecânico;Entregue;4;404.59;5
10230;Bruno Alves;Casa e Decoração;Conjunto de Toalhas;Entregue;1;121.44;8
10231;Marcelo Monteiro;Eletrônicos;Notebook;Entregue;2;4033.35;15
10232;Ana Lima;Casa e Decoração;Conjunto de Toalhas;Cancelado;5;161.86;8
10233;Flávia Azevedo;Eletrônicos;Smartphone;Entregue;2;1689.99;12
10234;Aline Ferreira;Brinquedos;Violão Infantil;Em trânsito;4;203.23;3
10235;Vanessa Sousa;Casa e Decoração;Espelho de Parede;Cancelado;3;206.29;5
10236;Henrique Dias;Casa e Decoração;Jogo de Panelas;Entregue;5;351.23;10
10237;Gustavo Pinto;Eletrônicos;Smart TV;Cancelado;3;2084.18;6
10238;Fábio Araújo;Casa e Decoração;Jogo de Cama;Entregue;5;210.68;12
10239;Sabrina Melo;Eletrônicos;SSD Externo;Cancelado;4;398.69;10
10240;Amanda Silva;Casa e Decoração;Espelho de Parede;Entregue;4;285.15;15
10241;Paulo Nascimento;Eletrônicos;Caixa de Som Bluetooth;Entregue;1;173.82;7
10242;Priscila Teixeira;Eletrônicos;Webcam;Entregue;4;256.45;14
10243;Carlos Souza;Eletrônicos;Tablet;Entregue;4;1079.46;12
10244;Ana Lima;Esportes;Luva de Boxe;Entregue;5;80.36;3
10245;Ana Lima;Eletrônicos;Smart TV;Cancelado;2;1598.79;12
10246;Rodrigo Batista;Esportes;Raquete de Beach Tennis;Cancelado;4;324.74;5
10247;Rafael Oliveira;Brinquedos;Quebra-Cabeça 1000 peças;Entregue;3;106.53;10
10248;Simone Castro;Brinquedos;LEGO Clássico;Entregue;2;234.74;3
10249;Rafael Oliveira;Eletrônicos;Smart TV;Cancelado;4;2926.82;14
10250;Camila Pereira;Eletrônicos;Notebook;Entregue;2;4278.54;3
10251;Rafael Oliveira;Eletrônicos;SSD Externo;Entregue;4;546.23;13
10252;Patrícia Rocha;Esportes;Raquete de Beach Tennis;Em trânsito;5;250.21;9
10253;Patrícia Rocha;Esportes;Bicicleta Ergométrica;Cancelado;3;1961.12;7
10254;Carlos Souza;Eletrônicos;Fone Bluetooth;Entregue;5;151.25;3
10255;Claudia Ramos;Casa e Decoração;Fritadeira Air Fryer;Entregue;1;694.17;11
10256;Fernanda Costa;Esportes;Tênis de Corrida;Entregue;4;294.2;11
10257;Marcelo Monteiro;Casa e Decoração;Jogo de Cama;Entregue;1;209.89;14
10258;Fábio Araújo;Eletrônicos;Smart TV;Em trânsito;5;3216.37;4
10259;Leandro Reis;Eletrônicos;Smartphone;Entregue;5;2233.73;14
10260;Patrícia Rocha;Brinquedos;Kit de Ciências;Entregue;1;209.78;5
10261;Diego Fernandes;Esportes;Kettlebell;Entregue;5;168.95;11
10262;Ana Lima;Eletrônicos;Smartwatch;Entregue;5;945.99;10
10263;Bianca Carvalho;Eletrônicos;Notebook;Entregue;5;3367.13;12
10264;Diego Fernandes;Eletrônicos;Tablet;Entregue;1;1044.18;14
10265;Débora Vieira;Eletrônicos;Smart TV;Entregue;2;1707.01;13
10266;Rafael Oliveira;Casa e Decoração;Tapete Sala;Entregue;4;387.07;7
10267;Diego Fernandes;Eletrônicos;Notebook;Entregue;1;3109.95;9
10268;Bruno Alves;Esportes;Garrafa Térmica;Entregue;2;60.35;11
10269;Vera Andrade;Casa e Decoração;Organizador de Gavetas;Cancelado;2;41.82;17
10270;Simone Castro;Eletrônicos;Webcam;Cancelado;5;173.27;6
10271;Débora Vieira;Eletrônicos;Smartphone;Entregue;2;1651.33;8
10272;Camila Pereira;Eletrônicos;Smartwatch;Entregue;2;720.69;13
10273;Vanessa Sousa;Esportes;Tênis de Corrida;Entregue;1;509.86;6
10274;Carlos Souza;Eletrônicos;Fone Bluetooth;Entregue;3;115.93;11
10275;Diego Fernandes;Casa e Decoração;Luminária de Mesa;Entregue;5;147.01;13
10276;Simone Castro;Eletrônicos;Smartphone;Em trânsito;3;1990.72;5
10277;Natália Barbosa;Brinquedos;Kit de Ciências;Entregue;2;135.77;5
10278;Ana Lima;Casa e Decoração;Tapete Sala;Cancelado;3;353.2;5
10279;Claudia Ramos;Casa e Decoração;Espelho de Parede;Em trânsito;1;283.23;9
10280;Carlos Souza;Casa e Decoração;Conjunto de Toalhas;Entregue;5;153.27;18
10281;Gustavo Pinto;Eletrônicos;Smartphone;Em trânsito;2;2230.64;4
10282;Larissa Nunes;Eletrônicos;Smart TV;Em trânsito;4;1994.83;11
10283;Rafael Oliveira;Esportes;Bicicleta Ergométrica;Entregue;4;1716.39;4
10284;Rafael Oliveira;Eletrônicos;Smartwatch;Em trânsito;3;906.81;14
10285;Marcelo Monteiro;Casa e Decoração;Difusor de Aromas;Em trânsito;2;65.52;4
10286;Rafael Oliveira;Esportes;Mochila de Hidratação;Entregue;5;109.6;5
10287;Rafael Oliveira;Brinquedos;Pista de Carrinhos;Entregue;1;164.03;2
10288;Carlos Souza;Esportes;Luva de Boxe;Entregue;1;202.1;11
10289;Ana Lima;Eletrônicos;Smartphone;Entregue;2;1793.81;7
10290;Rodrigo Batista;Brinquedos;LEGO Clássico;Entregue;1;376.85;6
10291;Bianca Carvalho;Eletrônicos;Smart TV;Entregue;1;2988.98;14
10292;Patrícia Rocha;Eletrônicos;Caixa de Som Bluetooth;Entregue;1;109.59;12
10293;Anderson Cruz;Esportes;Bicicleta Ergométrica;Em trânsito;4;2342.57;11
10294;Patrícia Rocha;Casa e Decoração;Porta-Retratos;Entregue;3;45.49;12
10295;Eduardo Freitas;Brinquedos;Patins;Entregue;4;112.82;7
10296;Patrícia Rocha;Esportes;Halteres;Em trânsito;2;128.05;6
10297;Ana Lima;Esportes;Kettlebell;Em trânsito;2;309.54;6
10298;Patrícia Rocha;Esportes;Raquete de Beach Tennis;Entregue;1;224.11;2
10299;Isabela Mendes;Casa e Decoração;Porta-Retratos;Entregue;5;24.64;9
10300;Lucas Ribeiro;Eletrônicos;Smartphone;Entregue;4;2266.32;4
10301;Patrícia Rocha;Esportes;Bola de Futebol;Entregue;1;109.7;8
10302;Carlos Souza;Brinquedos;LEGO Clássico;Entregue;1;164.78;7
10303;Aline Ferreira;Esportes;Bola de Futebol;Entregue;5;66.01;3
10304;Rafael Oliveira;Esportes;Bicicleta Ergométrica;Entregue;4;1996.32;10
10305;Carlos Souza;Eletrônicos;Smartphone;Entregue;1;1789.3;10
10306;Rafael Oliveira;Casa e Decoração;Conjunto de Toalhas;Em trânsito;1;91.99;12
10307;Letícia Moreira;Esportes;Bicicleta Ergométrica;Entregue;3;2447.95;5
10308;Bianca Carvalho;Esportes;Garrafa Térmica;Entregue;2;67.4;11
10309;Sérgio Machado;Esportes;Luva de Boxe;Em trânsito;5;110.79;12
10310;Fernanda Costa;Esportes;Bicicleta Ergométrica;Entregue;4;1558.59;9
10311;Felipe Gomes;Eletrônicos;Smartphone;Entregue;5;1544.47;6
10312;Bruno Alves;Casa e Decoração;Cafeteira Elétrica;Entregue;2;430.46;8
10313;Vera Andrade;Esportes;Luva de Boxe;Em trânsito;4;236.63;8
10314;Anderson Cruz;Eletrônicos;Smart TV;Entregue;5;1641.08;6
10315;Camila Pereira;Eletrônicos;Smart TV;Entregue;4;2758.06;3
10316;Tatiane Cunha;Eletrônicos;SSD Externo;Entregue;4;392.28;8
10317;Natália Barbosa;Brinquedos;Patins;Em trânsito;1;217.23;2
10318;Carlos Souza;Esportes;Bola de Futebol;Entregue;4;138.18;6
10319;Tiago Moura;Eletrônicos;Smartphone;Entregue;3;1322.58;11
10320;Bianca Carvalho;Casa e Decoração;Porta-Retratos;Em trânsito;1;57.56;11
10321;Claudia Ramos;Brinquedos;Telescópio Infantil;Cancelado;2;200.81;3
10322;Patrícia Rocha;Esportes;Tênis de Corrida;Entregue;1;512.98;11
10323;Marcelo Monteiro;Brinquedos;Carrinho de Controle Remoto;Entregue;5;109.34;9
10324;Roberto Cardoso;Esportes;Corda de Pular;Em trânsito;5;51.23;12
10325;Thiago Santos;Eletrônicos;Mouse Sem Fio;Entregue;2;144.14;10
10326;Thiago Santos;Casa e Decoração;Luminária de Mesa;Entregue;4;100.35;12
10327;Flávia Azevedo;Eletrônicos;Tablet;Em trânsito;4;1309.89;5
10328;Flávia Azevedo;Eletrônicos;Smartwatch;Entregue;1;689.97;12
10329;Rafael Oliveira;Eletrônicos;SSD Externo;Em trânsito;2;325.74;9
10330;Fernanda Costa;Eletrônicos;Fone Bluetooth;Cancelado;5;144.55;12
